role,skills,tools_platforms,description
Data Scientist,Python SQL statistics machine learning data cleaning feature engineering model evaluation data visualization,Python pandas NumPy scikit-learn Jupyter Matplotlib Seaborn SQL,"Analyzes data, builds predictive models, and extracts insights to support business decisions."
Data Analyst,SQL Excel Python statistics dashboards data cleaning reporting visualization business analysis,Excel Power BI Tableau SQL Python pandas Google Sheets,"Turns raw data into reports, dashboards, and insights for teams and decision-makers."
Machine Learning Engineer,Python machine learning algorithms model deployment feature engineering APIs optimization data pipelines,Python scikit-learn TensorFlow PyTorch FastAPI Docker MLflow Git,"Builds, trains, optimizes, and deploys machine learning models into real applications."
AI Engineer,Python artificial intelligence machine learning NLP computer vision model integration automation APIs,Python OpenAI API LangChain TensorFlow PyTorch Hugging Face FastAPI,"Develops AI-powered systems, automations, and intelligent applications using modern AI tools."
Deep Learning Engineer,Python neural networks deep learning computer vision NLP model training GPUs optimization,PyTorch TensorFlow Keras CUDA Hugging Face Jupyter Weights and Biases,Designs and trains neural network models for advanced AI tasks such as vision and language.
Natural Language Processing Engineer,Python NLP text processing transformers embeddings tokenization language models machine learning,Python Hugging Face spaCy NLTK PyTorch TensorFlow LangChain,"Builds AI systems that understand, classify, search, summarize, or generate human language."
Computer Vision Engineer,Python image processing deep learning object detection classification segmentation neural networks,OpenCV PyTorch TensorFlow YOLO Keras NumPy Roboflow,"Creates systems that analyze images and videos for detection, recognition, or classification."
MLOps Engineer,machine learning deployment CI/CD Docker Kubernetes cloud monitoring pipelines automation versioning,Docker Kubernetes MLflow GitHub Actions AWS Azure GCP Airflow,"Manages the deployment, monitoring, and maintenance of machine learning systems in production."
Backend Developer,programming APIs databases server logic authentication SQL problem solving software architecture,Python Django Flask FastAPI Node.js Express PostgreSQL MySQL Git,"Builds server-side logic, APIs, authentication systems, and database-powered applications."
Frontend Developer,HTML CSS JavaScript UI design responsive design web development accessibility state management,React Vue Angular Tailwind CSS JavaScript TypeScript Figma Git,Creates user-facing website and web application interfaces with clean layouts and interactions.
Full Stack Developer,frontend backend databases APIs JavaScript Python web development authentication deployment,React Node.js Express Django PostgreSQL MongoDB Docker Git,Builds complete web applications across both frontend interfaces and backend systems.
Mobile App Developer,mobile development UI programming APIs databases authentication app deployment debugging,Flutter Dart React Native Android Studio Xcode Firebase Kotlin Swift,Develops mobile applications for Android and iOS with user interfaces and backend connections.
DevOps Engineer,Linux automation CI/CD cloud deployment Docker Kubernetes monitoring scripting infrastructure,Docker Kubernetes Jenkins GitHub Actions AWS Azure Linux Terraform,"Automates software deployment, infrastructure, monitoring, and development workflows."
Cloud Engineer,cloud computing networking Linux security deployment scalability automation infrastructure databases,AWS Azure Google Cloud Terraform Docker Kubernetes Linux,"Designs and manages cloud infrastructure, services, deployments, and scalable systems."
Cloud Architect,cloud architecture scalability security networking cost optimization system design infrastructure planning,AWS Azure GCP Terraform Kubernetes Docker CloudFormation,Designs large-scale cloud solutions and chooses the correct services for business needs.
Cybersecurity Analyst,networking security risk analysis threat detection Linux incident response vulnerability assessment,Wireshark Kali Linux Splunk SIEM Nmap Nessus Metasploit,"Monitors systems, detects security threats, investigates incidents, and reduces cyber risk."
Penetration Tester,ethical hacking networking web security Linux scripting vulnerability testing exploitation reporting,Kali Linux Burp Suite Metasploit Nmap Wireshark Python OWASP ZAP,Tests systems and applications for vulnerabilities before attackers can exploit them.
Security Engineer,security architecture cloud security identity management encryption threat prevention automation compliance,AWS Security Azure Security SIEM IAM Firewalls Linux Terraform,"Builds and maintains secure systems, access controls, and protection mechanisms."
Database Administrator,SQL databases backup recovery performance tuning security indexing data modeling monitoring,MySQL PostgreSQL Oracle SQL Server MongoDB pgAdmin,"Manages databases, improves performance, handles backups, and protects stored data."
Data Engineer,Python SQL ETL data pipelines databases big data cloud data warehousing automation,Python SQL Spark Airflow Snowflake BigQuery AWS Glue dbt,"Builds systems that collect, clean, transform, and move data for analytics and AI."
Big Data Engineer,big data distributed systems data pipelines SQL Python ETL scalability cloud processing,Apache Spark Hadoop Kafka Hive Databricks AWS EMR Python,Works with large-scale datasets and distributed processing systems.
Business Intelligence Developer,SQL dashboards reporting data modeling KPIs analytics business analysis visualization ETL,Power BI Tableau SQL Server Excel DAX Looker,Creates dashboards and BI systems that help businesses track performance and decisions.
Software Engineer,programming algorithms data structures debugging testing software design problem solving Git,Python Java C++ Git GitHub VS Code IntelliJ Linux,"Designs, builds, tests, and maintains software applications and systems."
Systems Analyst,requirements analysis documentation business processes systems design communication problem solving testing,Jira Confluence Excel SQL Visio Lucidchart,Studies business needs and translates them into technical system requirements.
QA Engineer,testing debugging test cases automation quality assurance software validation documentation APIs,Selenium Postman JMeter Jira Cypress Playwright Git,Tests software to find bugs and ensure applications work correctly before release.
Automation Test Engineer,test automation scripting QA APIs regression testing debugging CI/CD software quality,Selenium Cypress Playwright Python Java Postman GitHub Actions,Builds automated tests to check software faster and more reliably.
Game Developer,programming game logic physics graphics UI design problem solving C# C++ debugging,Unity Unreal Engine C# C++ Blender Git Visual Studio,"Creates video games, game mechanics, levels, interactions, and real-time experiences."
Embedded Systems Engineer,C C++ electronics microcontrollers sensors hardware programming debugging real-time systems,Arduino Raspberry Pi STM32 C C++ PlatformIO MATLAB,"Develops software that runs on hardware devices, sensors, and microcontrollers."
IoT Engineer,sensors networking embedded systems cloud data collection automation electronics programming,Arduino Raspberry Pi MQTT AWS IoT Python C++ Node-RED,Builds connected smart devices that collect data and communicate over networks.
Robotics Engineer,Python C++ robotics control systems sensors computer vision automation algorithms hardware,ROS Python C++ Arduino Raspberry Pi OpenCV MATLAB,"Develops robots and automated systems that sense, decide, and act."
Blockchain Developer,smart contracts cryptography decentralized applications security backend programming Web3,Solidity Ethereum Hardhat Truffle Web3.js MetaMask Node.js,"Builds blockchain-based applications, smart contracts, and decentralized systems."
UI UX Designer,user research wireframing prototyping visual design usability design systems communication,Figma Adobe XD Sketch Miro FigJam Photoshop Illustrator,"Designs user experiences and interfaces that are clear, usable, and visually effective."
Product Manager,product strategy communication user research roadmap planning analytics prioritization leadership,Jira Trello Notion Figma Google Analytics Excel Miro,"Plans product features, coordinates teams, and aligns user needs with business goals."
Technical Project Manager,project management communication scheduling risk management Agile Scrum documentation leadership,Jira Trello Asana Notion Microsoft Project Slack,"Manages technical projects, timelines, teams, and delivery coordination."
Scrum Master,Agile Scrum facilitation communication team coordination sprint planning conflict resolution,Jira Trello Azure DevOps Confluence Miro,"Helps Agile teams organize sprints, remove blockers, and improve workflow."
IT Support Specialist,troubleshooting networking hardware software Windows Linux communication customer support,Windows Linux Active Directory Microsoft 365 ServiceNow TeamViewer,"Solves user technical problems involving devices, software, networks, and accounts."
Network Engineer,networking routing switching firewalls security troubleshooting protocols infrastructure monitoring,Cisco Packet Tracer Wireshark GNS3 Fortinet pfSense,"Designs, configures, and maintains computer networks and connectivity infrastructure."
System Administrator,Linux Windows servers networking security backups scripting troubleshooting user management,Linux Windows Server Active Directory Bash PowerShell VMware,"Maintains servers, operating systems, user accounts, backups, and IT infrastructure."
Site Reliability Engineer,reliability monitoring automation cloud Linux incident response scalability performance engineering,Kubernetes Docker Prometheus Grafana Terraform AWS Linux,"Keeps systems reliable, scalable, monitored, and available in production."
API Developer,backend APIs REST authentication databases documentation testing security programming,FastAPI Flask Django REST Node.js Express Postman Swagger,Builds and documents APIs that allow applications and services to communicate.
Python Developer,Python programming scripting automation APIs databases debugging data processing,Python Flask Django FastAPI pandas pytest Git VS Code,"Builds software, automation scripts, APIs, and data tools mainly using Python."
Java Developer,Java object oriented programming APIs databases backend development debugging testing,Java Spring Boot Maven IntelliJ PostgreSQL MySQL Git,"Develops backend applications, APIs, and enterprise software using Java."
C++ Developer,C++ programming algorithms data structures memory management performance debugging software design,C++ Visual Studio GCC CMake Linux Git CLion,"Builds high-performance software, systems applications, and algorithm-heavy programs."
AR VR Developer,3D development game engines interaction design programming graphics spatial computing,Unity Unreal Engine C# Blender Oculus SDK ARCore ARKit,Creates augmented and virtual reality applications and interactive 3D experiences.
Data Visualization Specialist,data storytelling dashboards visualization statistics design communication SQL analytics,Tableau Power BI Python Matplotlib Plotly Excel Looker,Creates visual reports and charts that explain data clearly and effectively.
Research Assistant in AI,Python machine learning literature review experiments data analysis statistics academic writing,Python Jupyter PyTorch TensorFlow Google Scholar LaTeX Git,"Supports AI research through experiments, analysis, literature review, and documentation."
Prompt Engineer,AI prompting language models evaluation automation writing problem solving workflows,ChatGPT OpenAI API Claude LangChain Google Sheets Python,"Designs and tests prompts and AI workflows to get useful, reliable outputs from language models."
Generative AI Developer,AI language models embeddings RAG APIs automation Python vector databases prompting,OpenAI API LangChain Pinecone Chroma Hugging Face FastAPI Python,"Builds applications using generative AI, retrieval systems, embeddings, and LLM APIs."
Data Privacy Analyst,privacy compliance data protection risk analysis documentation security governance regulations,Excel OneTrust Jira Microsoft Purview Google Workspace,"Helps organizations manage privacy risks, data protection rules, and compliance processes."
ERP Consultant,business processes systems analysis databases reporting communication implementation documentation,SAP Oracle ERP Microsoft Dynamics Excel SQL Power BI,Helps companies implement and improve ERP systems for business operations.
CRM Developer,databases automation APIs business workflows customization reporting integration programming,Salesforce Microsoft Dynamics HubSpot Zoho CRM JavaScript SQL,"Customizes CRM systems, automates workflows, and integrates customer data tools."
Technical Writer,documentation writing communication software understanding tutorials APIs editing clarity,Markdown GitHub Notion Confluence Swagger Google Docs,"Writes technical documentation, guides, manuals, and API explanations for users and developers."
Solutions Engineer,technical communication problem solving demos APIs integration customer support software knowledge,Postman CRM Jira Slack Python SQL Cloud Platforms,Explains and configures technical solutions for clients while connecting business and engineering teams.
AI Product Analyst,AI analytics product thinking data analysis user research metrics experimentation communication,SQL Python Excel Power BI Jupyter Figma Jira,"Analyzes AI product performance, user behavior, and opportunities for improvement."
